restaurant_external_id,restaurant_name,kakao_place_id,kakao_place_url,status,collected_review_count,actual_review_count,review_count_gap,missing_reviews,has_analysis,low_credibility_review_count,high_credibility_review_count,high_credibility_review_ratio,mean_review_credibility_score,min_review_credibility_score,max_review_credibility_score,event_rule_hit_count,credibility_final_score,average_trust_score,credibility_z_score,credibility_percentile_rank,credibility_label
kakao_824736542,낭만가득한20세기포장마차 수원성대본점,824736542,http://place.map.kakao.com/824736542,done,11,11,0,False,True,8,3,0.272727,0.579512,0.117554,0.996094,0,0.42612,42.61,1.199548,0.1,1
kakao_306868449,소리산전집,306868449,http://place.map.kakao.com/306868449,done,19,19,0,False,True,16,3,0.157895,0.596419,0.119202,0.973633,0,0.377157,37.72,0.252757,0.425,3
kakao_1279255339,두루정 수원성대점,1279255339,http://place.map.kakao.com/1279255339,done,50,50,0,False,True,40,10,0.2,0.491443,0.052582,0.972168,0,0.345721,34.57,-0.355116,0.65,4
kakao_762026624,코아김밥,762026624,http://place.map.kakao.com/762026624,done,20,20,0,False,True,20,0,0.0,0.454314,0.032623,0.705566,0,0.227157,22.72,-2.647803,1.0,5
kakao_1138868621,김치로우주정복 수원율천점,1138868621,http://place.map.kakao.com/1138868621,naver_not_found,0,0,0,True,False,0,0,,,,,0,,0.0,,,5
kakao_1676208114,최고집 원조 수구레,1676208114,http://place.map.kakao.com/1676208114,done,50,50,0,False,True,44,6,0.12,0.468974,0.053009,0.988281,0,0.294487,29.45,-1.345838,0.925,5
kakao_1687006483,돼지게티 율천점,1687006483,http://place.map.kakao.com/1687006483,done,16,16,0,False,True,13,3,0.1875,0.581879,0.064209,0.972168,0,0.384689,38.47,0.398407,0.375,2
kakao_382531552,미,382531552,http://place.map.kakao.com/382531552,naver_not_found,0,0,0,True,False,0,0,,,,,0,,0.0,,,5
kakao_24583309,신전떡볶이 수원성대점,24583309,http://place.map.kakao.com/24583309,done,50,50,0,False,True,45,5,0.1,0.564465,0.032104,0.888184,0,0.332233,33.22,-0.615949,0.75,4
kakao_2064565238,중경마라탕 3호점,2064565238,http://place.map.kakao.com/2064565238,done,50,50,0,False,True,44,6,0.12,0.505102,0.025833,0.893066,0,0.312551,31.26,-0.996537,0.85,5
kakao_1665003130,완미족발 수원성대점,1665003130,http://place.map.kakao.com/1665003130,done,50,50,0,False,True,43,7,0.14,0.467673,0.013145,0.99707,0,0.303836,30.38,-1.16505,0.9,5
